plot,habitat
KJ-C1,Dry heath & Barren
KJ-C2,Willow
KJ-C3,Mesic heath & Snowbed
KJ-C4,Mesic heath & Snowbed
KJ-C5,Betula nana heath
KJ-D1,Dry heath & Barren
KJ-D2,Willow
KJ-D3,Mesic heath & Snowbed
KJ-D4,Mesic heath & Snowbed
KJ-D5,Betula nana heath
NF-C1,Betula nana heath
NF-C2,Wetlands & meadows
NF-C3,Birch forest
NF-C4,Dry heath & Barren
NF-C5,Birch forest
NF-D1,Betula nana heath
NF-D2,Wetlands & meadows
NF-D3,Birch forest
NF-D4,Dry heath & Barren
NF-D5,Birch forest
NT-C1,Betula nana heath
NT-C2,Dry heath & Barren
NT-C3,Willow
NT-C4,Mesic heath & Snowbed
NT-C5,Wetlands & meadows
NT-D1,Betula nana heath
NT-D2,Dry heath & Barren
NT-D3,Willow
NT-D4,Mesic heath & Snowbed
NT-D5,Wetlands & meadows
SD-C1,Wetlands & meadows
SD-C2,Wetlands & meadows
SD-D1,Wetlands & meadows
SD-D2,Wetlands & meadows
VJ-C1,Mesic heath & Snowbed
VJ-C2,Birch forest
VJ-C3,Mesic heath & Snowbed
VJ-C4,Wetlands & meadows
VJ-C5,Dry heath & Barren
VJ-D1,Mesic heath & Snowbed
VJ-D2,Birch forest
VJ-D3,Mesic heath & Snowbed
VJ-D4,Wetlands & meadows
VJ-D5,Dry heath & Barren
